flow,temperature,dissolved_o2,ph,conductivity,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci,turbidity,phenophelene_alkanity,total_alkalinity,chlorides,cod,total_kjeldahl_n,amonia_n,hardness_caco3,calcium_caco3,magnesium_caco3,sulphate,sodium,total_dissolved_solids,total_fixed_solids,total_suspended_solids,phosphate,boron,potassium,flouride,fecal_coliform_is_bdl,total_coliform_is_bdl,fecal_streptococci_is_bdl,total_kjeldahl_n_is_bdl,nitrate_n_is_bdl,turbidity_is_bdl,sulphate_is_bdl,sodium_is_bdl,chlorides_is_bdl,phosphate_is_bdl,boron_is_bdl,potassium_is_bdl,flouride_is_bdl,dissolved_o2_is_bdl,total_suspended_solids_is_bdl,phenophelene_alkanity_is_bdl,total_alkalinity_is_bdl,type_water_body_ Dam,type_water_body_Creek,type_water_body_Dam,type_water_body_Lake,type_water_body_Nala,type_water_body_River,type_water_body_Sea,river_basin_Arnala ,river_basin_BPT Navapur ,river_basin_Bassein ,river_basin_Bhagwati Bundar,river_basin_Bhatsa ,river_basin_Bhayander ,river_basin_Bhima ,river_basin_Bindusara,river_basin_Chandrabhaga ,river_basin_Chikhali Nalla,river_basin_Colour Chem ,river_basin_Dahanu ,river_basin_Dandi ,river_basin_Darna ,river_basin_Erai ,river_basin_Ganptipule,river_basin_Godavari,river_basin_Godavari ,river_basin_Godavri ,river_basin_Gomai ,river_basin_Kalu ,river_basin_Kan ,river_basin_Kanhan ,river_basin_Karambavane,river_basin_Kharekuran Murbe ,river_basin_Koyna ,river_basin_Krishna,river_basin_Krishna ,river_basin_Kundalika,river_basin_Mandvi,river_basin_Manjara,river_basin_Morna ,river_basin_Muchkundi,river_basin_Mula ,river_basin_Mula Mutha ,river_basin_Mutha ,river_basin_Navapur ,river_basin_Nira ,river_basin_Panvel ,river_basin_Panzara ,river_basin_Patalganga ,river_basin_Pedhi ,river_basin_Pehlar ,river_basin_Penganga ,river_basin_Purna ,river_basin_Rabodi,river_basin_Rangavali ,river_basin_Sandoz ,river_basin_Sarwali ,river_basin_Savitri,river_basin_Savta ,river_basin_Surya ,river_basin_Tansa ,river_basin_Tapi ,river_basin_Tarapur MIDC Nalla,river_basin_Thane ,river_basin_Ulhas ,river_basin_Urmodi ,river_basin_Uttan ,river_basin_Vaitarna ,river_basin_Vashisthi,river_basin_Venna ,river_basin_Wainganga ,river_basin_Wardha ,river_basin_Wena,district_Akola,district_Amravati,district_Beed,district_Bhandara,district_Ch. Sambhaji Nagar,district_Chandrapur,district_Dhule,district_Jalna,district_Latur,district_Nagpur,district_Nanded,district_Nashik,district_Parbhani,district_Pune,district_Raigad,district_Ratnagiri,district_Sangli,district_Satara,district_Solapur,district_Thane,weather_Clear,weather_Cloudy,weather_Raining,approx_depth_50-100cm,approx_depth_Greater than 100cm,approx_depth_Less than 50cm,human_activities_Bathing,"human_activities_Bathing,Fishing","human_activities_Bathing,Fishing,Boating,Tourism Spot,Idol Emersion Wading","human_activities_Bathing,Fishing,Tourism Spot","human_activities_Bathing,Washing","human_activities_Bathing,Washing,Boating","human_activities_Bathing,Washing,Cultivation,Fishing,Boating,Gardening,Tourism Spot","human_activities_Bathing,Washing,Fishing","human_activities_Bathing,Washing,Gardening,Others","human_activities_Bathing,Washing,Others","human_activities_Boating,Tourism Spot",human_activities_Cultivation,human_activities_Fishing,"human_activities_Fishing,Boating,Tourism Spot","human_activities_Fishing,Others",human_activities_Idol Emersion Wading,human_activities_Others,"human_activities_Washing,Fishing",floating_matter_No,floating_matter_Yes,color_Blackish,color_Clear,color_Light Brown,color_Light Green,color_Muddish,color_Pale Yellow,color_Slightly Turbit,color_Turbit,color_slightly Turbit,odor_ Odourless,odor_Fishy,odor_Odor Free,odor_Odourless,odor_organic,odor_unknown,use_based_class
1.0,28.0,6.7,8.4,575.0,3.2,0.54,1.8,35.0,1.8,1.0,6.0,122.0,58.48,16.0,1.68,0.43,144.0,64.0,80.0,72.0,60.44,497.0,448.0,10.0,0.78,0.58,2.88,0.5,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,A
3.0,28.0,6.6,8.3,576.0,3.2,0.52,1.8,25.0,1.8,1.02,6.0,120.0,63.48,16.0,2.8,0.86,142.0,66.0,76.0,68.88,61.1,489.0,441.0,11.0,0.71,0.61,3.14,0.41,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,A
3.0,28.0,6.9,8.5,573.0,3.2,0.56,1.8,20.0,1.8,1.02,6.0,140.0,58.98,16.0,3.36,1.8,140.0,62.0,78.0,68.54,67.84,491.0,442.0,11.0,0.76,0.56,3.16,0.45,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,A
3.0,28.0,7.0,7.9,592.0,3.4,0.58,1.8,13.0,1.8,1.02,6.0,140.0,55.98,20.0,2.24,0.4,140.0,72.0,68.0,73.3,55.38,479.0,612.0,10.0,1.47,0.55,3.13,0.6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,A
2.0,29.0,6.6,8.7,922.0,3.8,0.63,1.8,14.0,1.8,1.03,6.0,130.0,98.47,20.0,1.68,0.44,160.0,82.0,78.0,128.8,114.98,765.0,689.0,12.0,0.33,0.56,4.57,0.49,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,A
0.5,30.0,7.1,8.6,356.0,3.0,0.7,1.8,17.0,1.8,1.01,6.0,140.0,13.0,16.0,5.6,2.28,120.0,60.0,60.0,21.1,20.8,316.0,285.0,10.0,1.12,0.55,1.54,0.95,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,A
1.0,20.0,7.0,8.3,506.0,3.2,1.8,1.8,21.0,1.8,1.2,6.0,150.0,52.48,16.0,3.36,1.35,140.0,64.0,76.0,46.5,46.91,418.0,377.0,12.0,0.2,0.56,4.48,0.99,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,A
8.0,22.0,6.8,8.5,526.0,3.6,1.95,1.8,25.0,1.8,1.22,6.0,148.0,50.48,20.0,5.04,2.54,120.0,60.0,60.0,56.86,48.67,441.0,397.0,10.0,1.0,0.58,4.17,0.72,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,A
0.0,31.0,6.0,8.1,721.0,3.8,3.2,1.8,21.0,1.8,1.03,6.0,100.0,54.98,16.0,4.48,0.41,148.0,64.0,84.0,63.3,46.8,353.0,318.0,10.0,0.77,0.53,3.24,0.89,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,A
0.0,31.0,6.4,8.3,409.0,3.8,2.1,1.8,15.0,1.8,1.27,6.0,142.0,32.49,20.0,2.24,1.49,130.0,60.0,70.0,60.7,44.39,355.0,320.0,12.0,0.49,0.53,3.05,0.46,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,A
